long_term_forecast_cqr_iTransformer_ETTm2_ne2_pe0_ug0_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0_seed4023 (Retrained CQR alpha=0.1, mode=finetune, window=1000, interval=96, epochs=3)
q_mean: 0.5651, Coverage: 0.8889, Width: 1.7844, retrains: 119, retrain_time: 1420.5s

long_term_forecast_cqr_iTransformer_ETTm2_ne4_pe0_ug0_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0_seed4023 (Retrained CQR alpha=0.1, mode=finetune, window=1000, interval=96, epochs=3)
q_mean: 0.4524, Coverage: 0.8713, Width: 1.5654, retrains: 119, retrain_time: 2301.7s

long_term_forecast_cqr_iTransformer_ETTm2_ne5_pe0_ug0_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0_seed4023 (Retrained CQR alpha=0.1, mode=finetune, window=1000, interval=96, epochs=3)
q_mean: 0.4496, Coverage: 0.8757, Width: 1.5507, retrains: 119, retrain_time: 2593.2s

long_term_forecast_cqr_iTransformer_ETTh2_ne1_pe0_ug0_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0_seed4021 (Retrained CQR alpha=0.1, mode=finetune, window=1000, interval=96, epochs=3)
q_mean: 0.4558, Coverage: 0.8265, Width: 2.4231, retrains: 29, retrain_time: 197.1s

long_term_forecast_cqr_iTransformer_ETTh2_ne1_pe0_ug0_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0_seed4021 (Retrained CQR alpha=0.1, mode=finetune, window=1000, interval=96, epochs=3)
q_mean: 0.4558, Coverage: 0.8265, Width: 2.4231, retrains: 29, retrain_time: 195.7s

long_term_forecast_cqr_iTransformer_ETTh2_ne2_pe0_ug0_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0_seed4021 (Retrained CQR alpha=0.1, mode=finetune, window=1000, interval=96, epochs=3)
q_mean: 0.4942, Coverage: 0.8218, Width: 2.4266, retrains: 29, retrain_time: 385.8s

long_term_forecast_cqr_iTransformer_ETTh2_ne2_pe0_ug0_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0_seed4021 (Retrained CQR alpha=0.1, mode=finetune, window=1000, interval=96, epochs=3)
q_mean: 0.4942, Coverage: 0.8218, Width: 2.4266, retrains: 29, retrain_time: 392.0s

long_term_forecast_cqr_iTransformer_ETTh2_ne3_pe0_ug0_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0_seed4021 (Retrained CQR alpha=0.1, mode=finetune, window=1000, interval=96, epochs=3)
q_mean: 0.4067, Coverage: 0.8179, Width: 2.3837, retrains: 29, retrain_time: 537.9s

long_term_forecast_cqr_iTransformer_ETTm1_ne1_pe0_ug0_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0_seed4021 (Retrained CQR alpha=0.1, mode=finetune, window=1000, interval=96, epochs=3)
q_mean: 0.4941, Coverage: 0.8816, Width: 1.7634, retrains: 119, retrain_time: 714.2s

long_term_forecast_cqr_iTransformer_ETTh2_ne3_pe0_ug0_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0_seed4021 (Retrained CQR alpha=0.1, mode=finetune, window=1000, interval=96, epochs=3)
q_mean: 0.4067, Coverage: 0.8179, Width: 2.3837, retrains: 29, retrain_time: 525.2s

